,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,movie,Na Boca da Noite,Na Boca da Noite,0,2016,\N,68,Drama
1,short,Miedzy Wroclawiem a Zielona Góra,Miedzy Wroclawiem a Zielona Góra,0,2010,\N,11,"Documentary,Short"
2,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,"Comedy,Drama"
3,movie,Chief Zabu,Chief Zabu,0,2016,\N,74,Comedy
4,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017,\N,80,"Comedy,Drama,Fantasy"
5,movie,Bigfoot,Bigfoot,0,2017,\N,\N,"Horror,Thriller"
6,short,Landscape with the Fall of Icarus,Landscape with the Fall of Icarus,0,2016,\N,26,"Animation,Short"
7,movie,Joe Finds Grace,Joe Finds Grace,0,2017,\N,83,"Adventure,Animation,Comedy"
8,movie,Nema aviona za Zagreb,Nema aviona za Zagreb,0,2012,\N,82,Biography
9,movie,Pál Adrienn,Pál Adrienn,0,2010,\N,136,Drama
10,movie,So Much for Justice!,Oda az igazság,0,2010,\N,100,History
11,movie,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,0,2013,\N,180,Documentary
12,movie,Children of the Green Dragon,A zöld sárkány gyermekei,0,2010,\N,89,Drama
13,short,Le sacre d'automne,Le sacre d'automne,0,2014,\N,27,"Drama,Short"
14,tvSeries,Edinburgh Nights,Edinburgh Nights,0,2014,\N,29,\N
15,movie,T.G.M. - osvoboditel,T.G.M. - osvoboditel,0,2018,\N,60,Documentary
16,movie,The Tragedy of Man,Az ember tragédiája,0,2011,\N,160,"Animation,Drama,History"
17,movie,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,0,2011,\N,\N,\N
18,movie,Bande de cons!,Bande de cons!,0,2018,\N,82,Drama
19,tvSeries,First Take,First Take,0,2017,\N,\N,\N
20,video,Flexing with Monty,Flexing with Monty,0,2010,\N,90,"Comedy,Drama,Horror"
21,movie,Summer of the Moonlight Sonata,Gekko no natsu,0,2015,\N,\N,\N
22,movie,Os Monstros de Babaloo,Os Monstros de Babaloo,0,2016,\N,100,Comedy
23,short,To Parsifal,To Parsifal,0,2017,\N,16,Short
24,tvSeries,Counterpoint,Counterpoint,0,2012,\N,\N,\N
25,short,Nadja in Paris,Nadja à Paris,0,2010,\N,13,Short
26,short,Veronica and Her Dunce,Véronique et son cancre,0,2010,\N,18,"Comedy,Short"
27,movie,The Final Journey,The Final Journey,0,2010,\N,120,Drama
28,movie,Los pájaros se van con la muerte,Los pájaros se van con la muerte,0,2011,\N,110,"Drama,Mystery"
29,movie,Foodfight!,Foodfight!,0,2012,\N,91,"Action,Animation,Comedy"
30,movie,Return to Babylon,Return to Babylon,0,2013,\N,75,"Biography,Comedy,Drama"
31,movie,In Memoriam Alfons Vranckx,Le Saigneur est avec nous,0,2018,\N,90,"Action,Adventure,Comedy"
32,short,Reading Between the Lines,Reading Between the Lines,0,2017,\N,36,"Documentary,Drama,Short"
33,tvSeries,TV2 hjelper deg,TV2 hjelper deg,0,2018,\N,25,\N
34,tvSeries,The Di Palma Forum at UNLV,The Di Palma Forum at UNLV,0,2012,\N,\N,\N
35,video,Ha-Kosem Me'eretz Utz Hamachzemer,Ha-Kosem Me'eretz Utz Hamachzemer,0,2015,\N,58,"Family,Musical"
36,movie,To Chase a Million,To Chase a Million,0,2018,\N,97,"Action,Drama"
37,movie,Short Time Heroes,Kurzzeithelden,0,2015,\N,45,Sci-Fi
38,movie,Life's a Beach,Life's a Beach,0,2012,\N,100,Comedy
39,movie,Dark Blood,Dark Blood,0,2012,\N,86,Thriller
40,movie,Neeyum Naanum,Neeyum Naanum,0,2018,\N,136,\N
